date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:08	21760/21760	---M--	200	added ('OK')	font/woff2	date:Sat,%2027%20Apr%202024%2010:28:03%20GMT	https://cdn.shopify.com/s/files/1/0554/1206/4337/files/BebasNeue-Regular.woff2?v=1661737074	C:/Users/rohan/Desktop/BJJWeb/Budoj/cdn.shopify.com/s/files/1/0554/1206/4337/files/BebasNeue-Regular06ad.woff2	(from https://artofjiujitsu.com/pages/academy)
09:55:08	20800/20800	---M--	200	added ('OK')	font/woff2	date:Sat,%2027%20Apr%202024%2010:28:08%20GMT	https://cdn.shopify.com/s/files/1/0554/1206/4337/files/BebasNeue-Regular.ttf?v=1661737076	C:/Users/rohan/Desktop/BJJWeb/Budoj/cdn.shopify.com/s/files/1/0554/1206/4337/files/BebasNeue-Regular44de.ttf	(from https://artofjiujitsu.com/pages/academy)
09:55:08	19764/19764	---M--	200	added ('OK')	font/woff2	date:Fri,%2029%20Mar%202024%2015:24:48%20GMT	https://cdn.shopify.com/s/files/1/0554/1206/4337/files/DINCondensed-Bold.ttf?v=1711723518	C:/Users/rohan/Desktop/BJJWeb/Budoj/cdn.shopify.com/s/files/1/0554/1206/4337/files/DINCondensed-Boldc046.ttf	(from https://artofjiujitsu.com/pages/academy)
09:55:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202024%2016:55:24%20GMT	http://artofjiujitsu.com/cdn/shop/t/2/assets/index.css?v=36037156436291941931713204330	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/shop/t/2/assets/index5a7d.css	(from https://artofjiujitsu.com/pages/academy)
09:55:10	191261/191261	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Apr%202024%2018:05:33%20GMT	https://artofjiujitsu.com/cdn/shop/t/2/assets/index.css?v=36037156436291941931713204330	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/shop/t/2/assets/index5a7d.css	(from https://artofjiujitsu.com/pages/academy)
09:55:10	3562/3562	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Apr%202024%2016:55:25%20GMT	https://artofjiujitsu.com/checkouts/internal/preloads.js?locale=en-US	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/checkouts/internal/preloadsc494.js	(from https://artofjiujitsu.com/pages/academy)
09:55:10	0/0	---M--	200	added ('OK')	application/javascript	date:Sat,%2027%20Apr%202024%2016:55:26%20GMT	https://shop.app/checkouts/internal/preloads.js?locale=en-US&shop_id=55412064337	C:/Users/rohan/Desktop/BJJWeb/Budoj/shop.app/checkouts/internal/preloads.1c9d46.delayed	(from https://artofjiujitsu.com/pages/academy)
09:55:11	98/98	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:ec64d107fb328c77c22d6a4414147f30%22	https://artofjiujitsu.com/pages/modules/chunk.common_f742047a.esm.js	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/pages/modules/chunk.common_f742047a.esm.js	(from https://artofjiujitsu.com/pages/academy)
09:55:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202024%2016:55:26%20GMT	http://artofjiujitsu.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.1e.delayed	(from https://artofjiujitsu.com/pages/academy)
09:55:11	12547/12547	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2014%20Mar%202024%2013:37:00%20GMT	https://artofjiujitsu.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	(from https://artofjiujitsu.com/pages/academy)
09:55:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202024%2016:55:26%20GMT	http://artofjiujitsu.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-80e528be853eac23af2454534897ca9536b1d3d04aa043b042f34879a3c111c8.js?v=20220906	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-80e528be853eac23af2454534897ca9536b1d3d04aa043b042f34879a3c111c8b805.js	(from https://artofjiujitsu.com/pages/academy)
